filename, Labels, Web, Text
AAG_01_F.png,Turquoise Copper Glasses Fashion accessory Eyewear Rectangle,Product designMetalDesignProduct,
AAG_02_F.png,Illustration Rectangle,ArtistArtAssemblageArt museumExhibitionMuseumWork of art1926Solo showCollage,00040000004000
AAG_03_F.png,Winter Barn Sky Rural area Snow Farm Landscape Building House Square,BESAImageSkyFoodHousePhotographPaintingMenuPortraitVideo,
AAG_04_F.png,Technology Electronic device,Black & White - MAngleLineFontGraphicsTealOrganism,
AAG_05_F.png,Dish Food Cuisine Ingredient Produce Indian cuisine Dessert,MedusaMarinara sauceMedusaArtistArtContemporary artWork of artThe Museum of Modern ArtPhotographyPainting,
AAG_06_F.png,Mobile phone case Technology Mobile phone accessories Wildlife,One Hundred Famous Views of Edo “Suidobashi Bridge and Surugadai”Suidō BridgeUkiyo-e Ōta Memorial Museum of ArtOne Hundred Famous Views of EdoUkiyo-eEdoSuruga-daiArtPrintmaking,s. PhauATE VILLACE  JACKPLE HAE URAAUM TAIUNGS  LACUNA PvESO RESERenoN NEW HEKICO" e8s.PhauATEVILLACE JACKPLEHAEURAAUMTAIUNGS LACUNAPvESORESERenoNNEWHEKICO"e8
AAG_07_F.png,Natural landscape Mountain Mountain range Hill station Town Landscape Technology Reflection Alps National park,Screen printingArtWork of artArtistContemporary artSurrealismCanvasPaintingPrintingImage,
AAG_08_F.png,Musical instrument Musician,PhotographyDetroitMonochrome photographyBlack and whiteArtPhotographPhotography As WitnessMusic,bruce 9:ffinbruce9:ffin
AW_01_F.png,Technology Fictional character Machine,,
AW_02_F.png,Technology Fictional character Metal Art,Poster,2098AABBTCERT2098AABBTCERT
AW_03_F.png,Text Font Technology Electronic device,The Language of the Gods in the World of Men: Sanskrit  Culture  and Power in Premodern IndiaSanskritDivine languageLanguageAncient languageDeityIndiaLanguages of IndiaCulture,a ta atigagltg SHELDON POLLOCKSUIVAEZ 1aiBdazaalZEMJATRazaaat haThe Lancuaceof the GODSin theWorLD of MenaleSANSKRIT  CULTURE  AND POWER IN PREMODERN INDIA\ EELeataatigagltgSHELDONPOLLOCKSUIVAEZ1aiBdazaalZEMJATRazaaathaTheLancuaceoftheGODSintheWorLDofMenaleSANSKRIT CULTURE ANDPOWERINPREMODERNINDIA\EELe
